Modularity,M Size,Keywords,LCM,LCM Size,Sim
76,104,"['vegan', 'vegan', 'vegan', 'turmer', 'embryo', 'miso', 'egg', 'skin', 'chees', 'pastri']",56,113,"['huel', 'falafel', 'garden', 'turmer', 'garden', 'garden', 'miso', 'recip', 'egg', 'food']",0.516573514663
92,102,"['barrow', 'langley', 'award', 'morag', 'noorjji', 'moya', 'salmon', 'angharad', 'koalapak', 'roasteri']",58,680,"['mdb', 'fundrais', 'apprenticeship', 'saudi', 'prison', 'prison', 'fundrais', 'snowden', 'prison', 'disabl']",0.250604804755
150,98,"['fallon', 'nyquist', 'allweath', 'gosden', 'payn', 'derbi', 'derbi', 'frankel', 'payn', 'ride']",31,65,"['noseband', 'fallon', 'nyquist', 'race', 'allweath', 'gosden', 'derbi', 'derbi', 'frankel', 'ride']",0.776822817101
160,96,"['garden', 'garden', 'garden', 'ranger', 'eleph', 'ivori', 'indigen', 'squirrel', 'plant', 'rhino']",45,2,"['ebay', 'speci', 'ebay', 'invas', 'speci', 'plant', 'plant', 'salvinia', 'amazon', 'seller']",0.144337567297
115,65,"['tsa', 'spider', 'hedg', 'mh370', 'flight', 'turtl', 'turtl', 'spider', 'chocolat', 'menzio']",35,30,"['mh370', 'guam', 'menzio', 'rescreen', 'egyptian', 'passeng', 'helicopt', 'passeng', 'egyptian', 'airport']",0.634075139121
117,55,"['apprenticeship', 'church', 'grotto', 'bt', 'archdioces', 'hitchen', 'bt', 'faith', 'priest', 'bond']",82,3,"['bianchi', 'church', 'pope', 'mcelwe', 'priest', 'deacon', 'deacon', 'deaco', 'church', 'ordain']",0.233549683248
118,53,"['tenni', 'djokov', 'beden', 'mauresmo', 'mladenov', 'murray', 'murray', 'murray', 'djokov', 'murray']",72,70,"['wednesday', 'wednesday', 'wednesday', 'wednesday', 'djokov', 'rosberg', 'beden', 'mladenov', 'murray', 'mercuri']",0.656709103303
168,50,"['wolverin', 'xmen', 'comic', 'helberg', 'florenc', 'preacher', 'superhero', 'dc', 'batman', 'pullman']",11,4,"['site', 'xmen', 'site', 'preview', 'site', 'site', 'apocalyps', 'aveng', 'florenc', 'preview']",0.282842712475
211,43,"['dada', 'poetri', 'poetri', 'greec', 'poem', 'plath’', 'debt', 'debt', 'biennal', 'duffi']",131,12,"['greec', 'debt', 'debt', 'tax', 'pitsiorla', 'bailout', 'greec', 'debt', 'creditor', 'greece’']",0.484247998479
161,28,"['debentur', 'ticket', 'ticket', 'crossword', 'resel', 'crossword', 'fashion', 'cryptic', 'crossword', 'ticket']",133,6,"['point', 'fashion', '10am11am', 'pure', 'knowadd', 'alwaysadd', 'sometimesadd', 'neveradd', 'pure', 'fashion']",0.308606699924
112,21,"['hutterit', 'fpö', 'hofer', 'bellen', 'hofer', 'hofer', 'bellen', 'der', 'fpö', 'der']",30,22,"['houghton', 'fpö', 'hofer', 'bellen', 'hofer', 'bellen', 'der', 'fpö', 'der', 'der']",0.930484210398
29,20,"['rawabi', 'netanyahu', 'palestinian', 'palestinian', 'lieberman', 'hinn', 'hama', 'palestinian', 'gaza', 'isra']",34,9,"['nayfack', 'transgend', 'transgend', 'gopstein', 'transgend', 'lehava', 'student', 'transgend', 'carolina', 'transgend']",0.07453559925
