Topic NO;NO Docs;Keywords
4;4;['desnard', 'day’', 'you’v', 'rien', 'sue', 'desnard', 'job', 'bore', 'wa', '£280000']
8;4;['coloni', 'ship', 'ship', 'boston', 'lime', 'bagley', 'cook’', 'endeavour', 'archaeologist', 'build']
39;4;['whale', 'whale', 'whale', 'sperm', 'whale', 'kemper', 'sperm', 'anim', 'teeth', 'pygmi']
78;4;['hut', 'cabin', 'hostel', 'whitstabl', 'oakley', 'cottag', 'hut', 'selfcat', 'sleep', 'lake']
79;4;['furi', 'tyson', 'furi', 'furi', 'furi', 'tyson', 'hi', 'heavyweight', 'klitschko', 'tyson']
84;4;['marcella', 'marcella', 'cullen', 'marcella', 'marcella’', 'marcella’', 'henri', 'killer', 'marcella', 'jason']
90;4;['shriver', 'mandibl', 'mandibl', 'shriver', 'grandpa', 'mandibl', 'luella', 'florenc', 'shriver’', 'enola']
93;4;['newman', 'newman', 'hannay', 'newman', 'bleiji', 'so15', 'bleiji', 'solicitor', 'newman', 'ccc']
122;4;['zoë', 'charli', 'awkward', 'lizzi', 'abouthow', 'ryan', 'stephen', 'headstand', 'scott', 'wordsfunni']
123;4;['constanc', 'wife', 'constanc', 'say', 'sisterinlaw', 'shorts”', 'say', 'say', 'say', 'digniti']
124;4;['2295', '2292', 'aze', '2293', 'postmark', 'aze', 'postmark', '2293', 'postmark', 'aze']
139;4;['emoji', 'emoji', 'emoji', 'emoji', 'bibleemoji', 'bibl', '😎', 'googl', 'unicod', 'sister']
148;4;['ophelia', 'agamemnon', 'watt', 'ophelia', 'iphigenia', 'zimmer', 'charact', 'naomi', 'iphigenia', 'clytemnestra']
156;4;['9pm', '9pm', 'biker', 'ethan', 'klan’', 'roanna', 'sampedro', '9pm', 'ilana', 'seri']
157;4;['kwouk', 'kwouk', 'asian', 'kwouk', 'takei', 'marvel', 'tibetan', 'tilda', 'cato', 'panther']
158;4;['maclennan', 'telegraph', 'tmg', 'telegraph', 'telegraph', 'staff', 'news', 'brook', 'tmg’', 'sherwel']
159;4;['pennebak', 'dylan', 'dylan', 'dylan', 'landi', 'dylan', 'taschen', 'kramercourtesi', 'film', 'woodstock']
179;4;['funniest', 'funniest', 'funniest', 'funniest', 'i’v', 'i’v', 'i’v', 'laugh', 'i’v', 'laugh']
180;4;['min', 'min', 'min', 'min', 'linklat', 'dog', 'aveng', 'anderson', 'bongsmok', 'handlebarmoustach']
198;4;['gome', 'arabian', 'gome', 'portrait', 'volum', 'portugal’', 'arabian', 'portugal’', 'gomes’', 'allegor']
224;4;['uae', 'alaradi', 'uae', 'rainfal', 'mountain', 'uae', 'salim', 'ncar', 'alaradi', 'eldarat']
225;4;['namur', 'jellico', 'jutland', 'fleet', 'cornwel', 'ship', 'hm', 'dockyard', 'timber', 'jutland']
5;3;['hatoum', 'hatoum', 'hatoum’', 'hatoum’', 'hatoum', 'mona', 'tate', 'mona', 'grater', 'mona']
9;3;['marseil', 'taro', 'barrè', 'siri', 'franck', 'avail', 'episod', 'depardieu', 'avail', 'iplay']
19;3;['missoni', 'missoni', 'missoni', 'rosita', 'margherita', 'ottavio', 'ottavio', 'fashion', 'fashion', 'rosita']
26;3;['bonnevil', 'bonnevil', 'bonnevil', 'ibsen’', 'gallagh', 'stockmann', 'stockmann’', 'amiabl', 'hugh', 'ibsen']
30;3;['ekeng', 'ekeng', 'ribeiro', 'dinamo', 'djomnang', 'jet', 'cameroon', 'bucharest', 'cameroon', 'friburguens']
37;3;['hove', 'hove', 'wye', 'van', 'hove', 'barbican', 'heav', 'backstab', 'war', 'view”']
41;3;['blacklist', 'mcalpin', 'blacklist', 'construct', 'kerr', 'blacklist', 'worker', 'cochran', 'apolog', 'mcalpin']
43;3;['thérèse', 'murder', 'howel', 'itv', 'bradford', '“story”', 'haigh', 'famili', 'bradford’', 'murder']
46;3;['hind', 'dodgson', 'hind', 'dodgson', 'parvizi', 'deutsch', 'arcadia', 'khan', '•', 'trade']
50;3;['fisk', 'kverneland', 'munch', 'fisk', 'munch’', 'munch', 'hi', 'pp', 'children', 'ambiti']
59;3;['iggi', 'iggi', 'pop', 'pop', 'iggy’', 'homm', 'jarmusch', 'gim', 'iggi', 'martinez']
62;3;['charli', 'mr', 'ralphi', 'aafrin', 'charli', 'evil', 'alblaschannel', 'cynthia', 'mr', 'cynthia']
70;3;['trainor', 'trainor', 'trainor’', 'meghan', 'trainor', 'identityfre', '2msell', 'britneylit', '“anthem”', 'identityfre']
