Topic NO;NO Docs;Keywords
69;28;['miso', 'caramelis', 'raspberri', '‘feast’', '‘bloom’', '‘acrobatic’', '‘bold’', 'referendum', 'guardianwit', 'review']
6;26;['steel', 'tata', 'tata', 'steel', 'steel', 'darayya', 'tata', 'subsidi', 'steel', 'steel']
36;26;['ttip', 'ceta', 'yıldırım', 'pannella', 'papua', 'gael', 'zuma', 'speech', 'inquest', 'pbp']
48;24;['péladeau', 'butler', 'butler', 'arpaio', 'butler', 'eubank', 'butler', 'harper', 'hellerstein', 'butler']
221;24;['therapist', 'suicid', 'mental', 'mental', 'mental', 'mental', 'mental', 'mental', 'poison', 'health']
34;23;['bt', 'window', 'encrypt', 'window', 'window', 'tablet', 'v8', 'router', 'encrypt', 'app']
12;22;['ridsdal', 'refuge', 'displac', 'traffick', 'traffick', 'abus', 'refuge', 'refuge', 'dadaab', 'children']
3;21;['cannabi', 'prison', 'drug', 'marijuana', 'drug', 'cannabi', 'zee', 'mamamia', 'marijuana', 'moberg']
17;20;['ucu', 'univers', 'engin', 'graduat', 'tuition', 'extern', 'student', 'tsai', 'universityprofessor', 'degre']
64;20;['tax', 'cornish', 'tax', 'tax', 'tax', 'deficit', 'inflat', 'rate', 'tax', 'pefo']
206;20;['gun', 'gun', 'gun', 'gun', 'shoot', 'gun', 'bhramarpura', 'biden', 'shoot', 'lightn']
9;19;['tamkeen', 'isi', 'haram', 'boko', 'libya', 'isi', 'falluja', 'libyan', 'wahib', 'assad']
18;19;['fpö', 'hofer', 'bellen', 'uktv', 'hofer', 'bellen', 'ufc', 'der', 'fpö', 'der']
127;19;['aug', 'aug', 'aug', 'knee', 'knee', 'tottenham', 'r3', 'aug', 'knee', 'knee']
197;19;['prison', 'prison', 'prison', 'prison', 'prison', 'prison', 'prison', 'prison', 'prison', 'kennet']
112;18;['rosberg', 'mercuri', 'gibson', 'rosberg', 'verstappen', 'rosberg', 'guardianwit', 'hamilton', 'stalin', 'monaco']
132;18;['hatoum', 'binney', 'flemish', 'leicest', 'wood', 'charli', 'thai', 'golf', 'festivald', 'festiv']
35;17;['cat', 'nh', 'pharmacist', 'koolmatri', 'lgbtqi', 'patient', 'discharg', 'nh', 'wolfgould', 'patient']
72;17;['shkreli', 'garden', 'ioc', 'diack', 'diack', 'reedi', 'athlet', 'athlet', 'olymp', 'athlet']
119;17;['hiroshima', 'vietnam', 'nuclear', 'china', 'nuclear', 'vietnam', 'hong', 'hiroshima', 'nuclear', 'korean']
209;17;['vieira', 'fc', 'bbc', 'nycfc', 'raid', 'patten', 'bbc', 'vieira’', 'bbc', 'brampton']
60;16;['pelé', 'kendal', 'embryo', 'fertil', 'ivf', 'nargund', 'köhler', 'blyton', 'manchest', 'kaur']
151;16;['garden', 'garden', 'garden', 'garden', 'garden', 'meadow', 'garden', 'norwood', 'garden', 'beetl']
171;16;['mansoor', 'bha', 'bha', 'bha', 'bha', 'lohn', 'mansoor', 'mansoor', 'bha', 'iran']
200;16;['spotifi', 'spotifi', 'appl', 'youtub', 'station', 'radiohead', 'metro', 'radiohead', 'witch', 'radiohead']
217;16;['mortgag', 'mortgag', 'mortgag', 'loan', 'mortgag', 'crowther', 'interestonli', 'mortgag', 'expat', 'loan']
140;15;['gingham', 'diamond', 'jacket', 'civanto', 'petit', 'shirt', 'dress', 'petit', 'crop', 'blue']
157;15;['osbourn', 'micklethwait', 'rousseff', 'cunha', 'shed', 'rousseff', 'feliciano', 'presid', 'grillo', 'impeach']
203;15;['eurovis', 'eurovis', 'eurovis', 'eurovis', 'eurovis', 'attenborough', 'eurovis', 'eurovis', 'eurovis', 'wingham']
13;14;['kramnik', 'evan', 'evan', 'evan', 'evan', 'clarkson', 'trailer', 'leblanc', 'clarkson', 'gear']
1;13;['sulli', 'badreddin', 'chibok', 'badreddin', 'chibok', 'nkeki', 'badreddin', 'hezbollah', 'rescu', 'chibok']
44;13;['ivori', 'floral', 'dhl', 'leicest', 'leicest', 'leicest', 'predict', 'leicest', 'leicest', 'citi']
49;13;['emoji', 'bibleemoji', 'bibl', '😎', '9pm', 'deepcut', '😇', 'voight', '10pm', 'concerto']
56;13;['•', '•', 'tudor', '•', '•', '•', 'survivor', 'holocaust', 'canada', 'welsh']
98;13;['binoch', 'dir', 'allen', 'joke', 'stewart', 'allen', 'stewart', 'stewart', 'allen', 'joke']
165;13;['greec', 'debt', 'debt', 'tax', 'greek', 'bailout', 'abv', 'greec', 'debt', 'creditor']
198;13;['pole', 'qn', 'olymp', 'sayer', 'shields’', 'palmer', 'adlington', 'varnish', 'olymp', 'ujah']
207;13;['healthcar', 'film', 'storrar', 'storrar', 'women', 'polic', 'profession', 'film', 'wage', 'discrimin']
37;12;['bitcoin', 'bitcoin', 'bitcoin', 'vesuviu', 'zapata', 'wright', 'wright', 'bitcoin', 'bitcoin', 'bitcoin']
159;12;['nsi', 'contactless', 'pension', 'bank', 'switch', 'bank', 'bank', 'bank', 'bank', 'overdraft']
30;11;['guardianteach', 'dot', 'test', 'test', 'cent', 'dot', 'line', 'exam', 'ipart', 'hexagon']
81;11;['injunct', 'desert', 'insect', 'privaci', 'injunct', 'injunct', 'butterfli', 'trip', 'arthropod', '1418']
86;11;['seat', 'kay', 'prefer', 'fierravantiwel', 'nxt', 'liber', 'green', 'green', 'seat', 'canning']
87;11;['sugar', 'guarani', 'nayfack', 'lieberman', 'transgend', 'transgend', 'gopstein', 'transgend', 'lehava', 'student']
93;11;['maduro', 'mujica', 'maduro', 'maduro', 'maduro', 'caraca', 'maduro', 'maduro', 'venezuela’', 'maduro']
168;11;['spider', 'est', 'triniti', 'zoë', 'mirror', 'illustr', 'mirror', 'trainor', 'trainor', 'triniti']
223;11;['anag', 'religion', 'anag', 'anag', 'zen', 'anag', 'rev', 'def', 'def', 'anag']
38;10;['tebow', 'tebow', 'moss', 'dryfarm', 'flower', 'l', 'gase', 'abel', 'minicamp', 'pick']
61;10;['climber', 'climber', 'hostelworld', 'mcilroy', 'climber', 'altidor', 'everest', 'everest', 'assassin’', 'hostel']
145;10;['asteroid', 'mar', 'pluto', 'planet', 'spacex', 'planet', 'krispi', 'mercuri', 'mercuri', 'planet']
199;10;['refuge', 'refuge', 'island', 'dutton', 'dutton', 'norfolk', 'dutton', 'refuge', '3', 'refuge']
20;9;['rr', 'playlist', 'rr', 'spi', 'playlist', 'rr', 'playlist', 'rr', 'playlist', 'playlist']
41;9;['iran', 'oedip', 'ballet', 'modi', 'opera', 'venabl', 'wigmor', 'tue', 'kane', 'tue']
80;9;['nu', 'ga', 'payday', 'googl', 'uganda', 'dairi', 'farmer', 'trust', 'nec', 'scott']
220;9;['point', 'menabrea', 'fashion', '10am11am', 'pure', 'knowadd', 'alwaysadd', 'sometimesadd', 'neveradd', 'pure']
8;8;['orangutan', 'site', 'xmen', 'nyaru', 'site', 'bukit', 'preview', 'site', 'site', 'apocalyps']
16;8;['ticket', 'soundcloud', 'ticket', 'ticket', 'ticket', 'allnba', 'tout', 'ljung', 'tout', 'tout']
32;8;['frack', 'pay', 'women', 'wip', 'women', 'gap', 'frack', 'men', 'women', 'greenham']
73;8;['alic', 'warrior', 'thunder', 'bike', 'alic', 'curri', 'bogut', 'bike', 'oklahoma', 'warrior']
156;8;['ninagawa', 'shakespear', 'henri', 'theatr', 'hove', 'shakespear', 'folio', 'curtain', 'iii', 'vi']
213;8;['isi', 'dembélé', 'chelsea', 'pochettino', 'chelsea', 'tottenham', 'fàbrega', 'pochettino', 'pochettino', 'dembélé']
90;7;['wingfieldhay', 'eln', 'kit', 'pyongyang', 'congress', 'kim', 'polic', 'meow', 'palencia', 'korea']
101;7;['carré', 'wine', 'abv', 'sampler', 'dutert', 'sauvignon', 'min', 'le', 'poe', 'wine']
131;7;['osprey', 'beaumont', 'jone', 'rugby’', 'wray', 'rk', 'england', 'scarlet', 'worcest', 'cockeril']
133;7;['guzmán', 'pri', 'juárez', 'guzmán', 'guzmán', 'guzmán', 'vineyard', 'guzmán’', 'extradit', 'ciudad']
148;7;['plant', 'european', 'librari', 'ebay', 'speci', 'letter', 'speci', 'trillion', 'ebay', 'netflix']
158;7;['yay', 'troon', 'muirfield', 'golf', 'faust', 'friday', 'muirfield', 'muirfield', 'muirfield', 'comment']
196;7;['tidal', 'weeknd', 'lemonad', '83', '83', '83', '83', 'stream', 'tidal’', 'grey']
108;6;['plum’', 'gut', 'cowen', 'edgeland', 'intestin', 'munch’', 'citystate’', 'alicia', 'dietland', 'munch']
129;6;['necklac', 'gdnchildrensbk', 'darfur', 'articl', 'ya', 'nyala', '18', 'otash', 'leicest', 'cb']
152;6;['skin', 'polar', 'uber', 'ice', 'ice', 'starbuck', 'driver', 'uber', 'bear', 'driver']
174;6;['tuesday', 'bbc', 'bbc', 'recip', 'bbc', 'food', 'recip', 'recip', 'onlin', 'news']
179;6;['turkey', 'smuggler', 'visafre', 'passport', 'darch', 'turkey', 'refuge', 'smuggl', 'turkish', 'eu']
224;6;['humanitarian', 'sdg', 'aid', 'humanitarian', 'sdg', 'trillion', 'humanitarian', 'summit', 'aid', 'intern']
54;5;['vegan', 'vegan', 'schmidt', 'marshmallow', 'boomf', 'engelhart', 'android', 'iphon', 'vegan', 'blackberri']
63;5;['revolut', 'antisemit', 'committe', 'livingston', 'antisemit', 'mao', 'omrlp', 'mccluskey', 'cultur', 'shah']
70;5;['viewer', 'viewer', 'viewer', 'peston', 'million', 'viewer', 'eurovis', 'million', '10am', 'viewer']
106;5;['cartoon', 'moon', 'rodchenkov', 'dog', 'tommi', 'peaki', 'meldonium', 'blinder', 'sharapova', 'obamka']
126;5;['uc', 'crabb', 'crabb', 'uc', 'claimant', 'sanction', 'pension', 'sanction', 'claimant', 'inwork']
138;5;['fiver', 'nobl', 'fiver', 'xhaka', 'wallchart', 'letter', '™', 'fiver', 'ruud', 'manchest']
154;5;['violetta', 'film', 'band', 'traviata', 'trainor’', 'dga', 'meghan', 'trainor', 'rabbi', 'list']
176;5;['masturb', '3x3', '3x3', '3x3', '3x3', 'grid', 'grid', 'grid', 'grid', 'puzzl']
184;5;['friday', 'friday', 'friday', 'warwick', 'it’', 'it’', 'it’', 'threepenni', 'brecht', 'louch']
188;5;['art', 'yosemit', 'watkin', 'art', 'watkins’', 'parti', 'australia', 'theatr', 'council', 'fund']
218;5;['edf', 'hinkley', 'edf', 'edf', 'edf', 'reactor', 'hinkley', 'hinkley', 'edf', 'hinkley']
26;4;['fawcettflatsfriday', 'shoe', 'heel', 'heel', 'flat', 'thorp', 'wear', 'white', '13', 'petit']
43;4;['skepta', 'dunham', 'grime', 'england', 'lenni', 'song', 'coyot', 'lópez', 'konnichiwa', 'lena']
68;4;['wine', 'pieropan', 'soav', 'wine', 'tuareg', 'wine', 'kel', 'assyrtiko', 'calvarino', 'bottl']
94;4;['holiday', 'bank', 'monday', 'gear', 'neg', 'holiday', 'neg', 'gear', 'symond', 'it’']
103;4;['arcangel', 'dvořák’', 'dvořák', 'songlin', 'mundin', 'indigen', 'lisson', 'opera', 'wagstaff', 'sydney']
193;4;['citi', 'citi', 'berkowitz', 'laport', 'bilbao', 'athlet', 'cro', 'arup', 'resili', 'concepción']
19;3;['alarmist', 'vs', 'marijuana', 'potato', 'ian', 'climat', 'chianti', 'cannabi', 'endocannabinoid', 'collin']
25;3;['falluja', 'isi', 'iraqi', 'mosul', 'isi', 'makhmour', 'offens', 'iraqi', 'aleppo', 'kurdish']
28;3;['redston', 'redston', 'herzer', 'dauman', 'viacom', 'redston', 'sumner', 'redstone’', 'herzer', 'redstone’']
33;3;['bostridg', 'mavra', 'noce', 'renard', 'zender', 'winterreis', 'aldeburgh', 'stravinski', 'serenad', 'clayton']
45;3;['kroto', 'jaap', 'carbon', 'emmi', 'vlaardingen', 'atom', 'chemistri', 'lucassen', 'genn', 'jaap’']
53;3;['baupin', 'sexism', 'alleg', 'harass', 'cavalleria', 'rusticana', 'mascagni', 'french', 'women', 'camilla']
74;3;['polic', 'polic', 'polic', 'ferguson', 'homicid', 'crime', 'increas', 'louisiana', 'black', 'toomey']
96;3;['finch', 'ship', 'cruis', 'glow', 'foundat', 'vivian', 'portland', 'cdc', 'book', 'schwarz']
104;3;['fine', 'chianti', 'cyclist', 'ride', 'train', 'overnight', 'servic', 'giro', 'sixtyon', 'ride']
120;3;['grizzli', 'peni', 'yellowston', 'transplant', 'bear', 'rosthwait', 'herdwick', 'ewe', 'man', 'donor']
141;3;['douro', 'vuitton', 'bb', 'ghesquièr', 'quinta', '351', 'loui', '51', 'wine', 'breakfast']
146;3;['thursday', 'thursday', 'thursday', 'it’', 'it’', 'it’', '🤕', 'galliv', 'galloway', 'gallow']
155;3;['harbin', 'saracen', 'exet', 'farrel', 'harbin’', 'slade', 'spring', 'farrel', 'steenson', 'barritt']
195;3;['monday', 'salmon', 'dandruff', 'it’', 'scalp', 'propionibacterium', 'staphylococcu', 'algal', 'zhang', 'chiloé']
214;3;['bmx', 'mirra', 'marcella’', 'killer', 'mirra’', 'marcella', 'cte', 'henri', 'brain', 'copycat']
219;3;['aeb', 'insur', 'samuelsson', 'car', 'car', 'car', 'insur', 'insur', 'selfdriv', 'driver']
225;3;['prison', 'islam', 'isol', 'openneck', 'counterextrem', 'tie', 'peston’', 'shirt', 'sebagmontefior', 'solitari']
2;2;['fienn', 'liddel', 'chariot', 'lout', 'dumont’', 'l’humanité', 'comedi', 'ma', 'brunitedeschi', 'peteghem']
7;2;['mourinho', 'ibrahimov', 'bayern', 'zlatan', 'manchest', 'borussia', 'unit', 'guirassi', 'henrikh', 'auzerr']
15;2;['pedestrian', 'patent', 'vehicl', 'selfdriv', '•', 'adhes', 'car', 'tyne', 'turkey’', 'googl']
47;2;['password', '26', 'dispatch', '2016', 'gdnsocialcar', 'dispatches—', 'sw', 'hacker', 'crack', 'social']
58;2;['clue', 'bristol', '•', 'puzzl', 'synonym', 'ree', 't', 'frack', 'norfolk', 'cryptic']
71;2;['harass', 'hemenway', 'wentworth', 'harass', 'train', 'sexual', 'berkeley', 'uc', 'edelman', 'berkeley']
83;2;['kouyat', 'driscol', 'kora', 'gaelic', 'sekou', 'kora', 'cissétàladh', 'mansani', 'dhol', 'balafon']
85;2;['skrillex', 'dienel', 'bieber', 'bieber', 'skrillex', 'tmz', 'sorri', 'dienel', 'spotifi', 'bell']
91;2;['j', 'longboard', 'tweener', 'omnishambl', 'trickster', 'warm', 'pointer', 'teamwork', 'm', 'pd']
95;2;['bianchi', 'pope', 'mcelwe', 'priest', 'deacon', 'deaco', 'church', 'ordain', 'women', 'poster']
105;2;['monster', 'clooney', 'o’connel', 'gate', 'money', 'clooney', 'atsushi', 'nishijimaap', 'monster', 'robert']
115;2;['sonata', 'violin', 'tiberghien’', 'k481', 'dann', 'cabay', 'bolasi', 'aug', 'clasi', 'keyboard']
117;2;['harvey', 'nethsingha', 'music', 'john’', 'leipzig', 'choir', 'st', 'bach’', 'missa', 'tenburi']
143;2;['aap', 'xoyo', 'nast', 'nast’', 'rocky’', 'gee', 'bee', 'lord', 'mob', 'rocki']
149;2;['alcohol', 'drink', 'alcohol', 'men', 'health', 'drink', 'health', 'drinkawar', 'industryfund', 'men']
